"LHS","RHS","support","confidence","coverage","lift","count"
"{ENSG00000163815_High,ER=Positive}","{PR=Positive}",0.363800904977376,0.864516129032258,0.420814479638009,1.35310243991593,402
"{ENSG00000163815_High,ER=Positive,Subtype=Luminal_A}","{PR=Positive}",0.363800904977376,0.864516129032258,0.420814479638009,1.35310243991593,402
"{ENSG00000090889_Low,ENSG00000152253_Low,ER=Positive}","{PR=Positive}",0.304072398190045,0.863753213367609,0.352036199095023,1.35190835803287,336
"{ENSG00000169418_Low,ER=Positive}","{PR=Positive}",0.30316742081448,0.86340206185567,0.351131221719457,1.3513587512047,335
"{ENSG00000169418_Low,ER=Positive,Subtype=Luminal_A}","{PR=Positive}",0.30316742081448,0.86340206185567,0.351131221719457,1.3513587512047,335
"{ENSG00000088325_Low,ENSG00000105011_Low,ER=Positive}","{PR=Positive}",0.30316742081448,0.86340206185567,0.351131221719457,1.3513587512047,335
"{ENSG00000133800_Low,ER=Positive}","{PR=Positive}",0.317647058823529,0.862407862407862,0.368325791855204,1.34980267416528,351
"{ENSG00000133800_Low,ER=Positive,Subtype=Luminal_A}","{PR=Positive}",0.317647058823529,0.862407862407862,0.368325791855204,1.34980267416528,351
"{ENSG00000117650_Low,ER=Positive}","{PR=Positive}",0.360180995475113,0.861471861471861,0.418099547511312,1.3483376868646,398
"{ENSG00000117650_Low,ER=Positive,Subtype=Luminal_A}","{PR=Positive}",0.360180995475113,0.861471861471861,0.418099547511312,1.3483376868646,398
"{ENSG00000120049_High,ER=Positive}","{PR=Positive}",0.33393665158371,0.86013986013986,0.388235294117647,1.3462528972444,369
"{ENSG00000120049_High,ER=Positive,Subtype=Luminal_A}","{PR=Positive}",0.33393665158371,0.86013986013986,0.388235294117647,1.3462528972444,369
"{ENSG00000230838_High,ER=Positive}","{PR=Positive}",0.345701357466063,0.858426966292135,0.402714932126697,1.34357195149123,382
"{ENSG00000230838_High,ER=Positive,Subtype=Luminal_A}","{PR=Positive}",0.345701357466063,0.858426966292135,0.402714932126697,1.34357195149123,382
"{ENSG00000183856_Low,ER=Positive}","{PR=Positive}",0.355656108597285,0.858078602620087,0.41447963800905,1.34302670806685,393
"{ENSG00000183856_Low,ER=Positive,Subtype=Luminal_A}","{PR=Positive}",0.355656108597285,0.858078602620087,0.41447963800905,1.34302670806685,393
"{ENSG00000029559_Low,ER=Positive}","{PR=Positive}",0.333031674208145,0.857808857808858,0.388235294117647,1.34260451540905,368
"{ENSG00000029559_Low,ER=Positive,Subtype=Luminal_A}","{PR=Positive}",0.333031674208145,0.857808857808858,0.388235294117647,1.34260451540905,368
"{ENSG00000115306_Low,ER=Positive}","{PR=Positive}",0.322171945701357,0.855769230769231,0.376470588235294,1.33941218130312,356
"{ENSG00000115306_Low,ER=Positive,Subtype=Luminal_A}","{PR=Positive}",0.322171945701357,0.855769230769231,0.376470588235294,1.33941218130312,356
