"Feature","Gain","Cover","Frequency"
"ENSG00000074527",0.000869681115384712,0.000670164543744045,0.00186133085155886
"ENSG00000211964",0.000854895941229686,0.00274912407698621,0.00139599813866915
"ENSG00000135346",0.000847186059157066,0.0011281528071742,0.000930665425779432
"ENSG00000159763",0.000843384435652017,0.00120313047404095,0.00186133085155886
"ENSG00000211959",0.000832835708262858,0.00135758637907712,0.000465332712889716
"ENSG00000129988",0.000832829583011225,0.00289446700601671,0.00139599813866915
"ENSG00000141668",0.000832227498617745,0.00398703931791593,0.00651465798045603
"ENSG00000181092",0.000827326601259953,0.000273910396097946,0.000930665425779432
"ENSG00000064787",0.000809757987473615,0.00169021337756724,0.00139599813866915
"ENSG00000120875",0.000801764046856511,0.000255554654676976,0.000465332712889716
"ENSG00000105048",0.00080074509732632,0.00197799253130061,0.00465332712889716
"ENSG00000153002",0.000800418858071726,0.00238011868565255,0.00325732899022801
"ENSG00000227097",0.000794881282569754,0.000983645917168276,0.00186133085155886
"ENSG00000179593",0.000791237245083992,0.000501688249201793,0.00139599813866915
"ENSG00000100095",0.000788622319477722,0.0024224738988872,0.00372266170311773
"ENSG00000211452",0.000785426817463819,0.0015891375549786,0.0027919962773383
"ENSG00000186847",0.000771768480793885,0.0012870157676524,0.00139599813866915
"ENSG00000189058",0.000762228540585616,0.000989895150707516,0.00232666356444858
"ENSG00000186081",0.00075246823052882,0.00040806121798313,0.000930665425779432
"ENSG00000137699",0.000741970384491295,0.000255317490741785,0.000465332712889716
"ENSG00000101098",0.000732281976536056,0.00107802457006569,0.00186133085155886
"ENSG00000148513",0.00072886714875061,0.0016521903829841,0.0027919962773383
"ENSG00000126562",0.000725113483181642,0.00196142070132915,0.00186133085155886
"ENSG00000184811",0.000722522362530582,0.00236278619574261,0.00139599813866915
"ENSG00000205002",0.000710273738602977,0.00142278790269464,0.00232666356444858
"ENSG00000106688",0.00069952809829484,0.00269979277336521,0.0027919962773383
"ENSG00000164434",0.000686018855818066,0.000687658517227743,0.000465332712889716
"ENSG00000196754",0.000685789437302354,0.000903310008405999,0.00232666356444858
"ENSG00000171428",0.00068319629810246,0.00141120989198658,0.00186133085155886
"ENSG00000150893",0.000672994065061363,0.00137845752843469,0.00139599813866915
"ENSG00000167754",0.000669844989670634,0.00218369922530316,0.000930665425779432
"ENSG00000114248",0.000659929877799839,0.00125785472647482,0.000465332712889716
"ENSG00000261175",0.000656381199345183,0.00111942052266817,0.00186133085155886
"ENSG00000211935",0.000648585981380493,0.00121123417771062,0.0027919962773383
"ENSG00000211890",0.000646587966060859,0.000887820058123651,0.00186133085155886
"ENSG00000123407",0.000639911720201323,0.0016036750534511,0.00139599813866915
"ENSG00000161031",0.000639856175305832,0.000502079274445041,0.000930665425779432
"ENSG00000186910",0.000626061064551136,0.00133547891629926,0.00372266170311773
