"gene","baseMean","log2FC","lfcSE","stat","pvalue","padj","regulation"
"ENSG00000066279",1853.10403463312,3.53834494551829,0.123550655546101,28.6388196799005,2.20902309872659e-180,6.67356152651344e-178,"Up"
"ENSG00000176438",1345.60402701319,-3.00451180880914,0.104972828274988,-28.6218048821023,3.59765486665599e-180,1.07437552977689e-177,"Down"
"ENSG00000164611",1372.68325183847,3.22731027872149,0.11280524046272,28.609577582418,5.10694355869395e-180,1.50776705225486e-177,"Up"
"ENSG00000170509",57.1321296232632,-5.01036294858718,0.175178697697952,-28.6014396409441,6.44738645715637e-180,1.88212974767842e-177,"Down"
"ENSG00000134057",2938.05093259146,2.57955761755196,0.090223434499438,28.5907716976572,8.7504806534767e-180,2.52606930953309e-177,"Up"
"ENSG00000135424",1736.93106322481,-3.66499443161521,0.128475662594187,-28.5267603031692,5.45670923826383e-179,1.55792046944321e-176,"Down"
"ENSG00000109674",199.788222648405,3.41136460828261,0.119721325135167,28.4942102372416,1.38184267787429e-178,3.90235376237522e-176,"Up"
"ENSG00000138640",1423.31178966361,-2.42778158728861,0.0852106442137761,-28.4915295464473,1.49166404994862e-178,4.16719609480808e-176,"Down"
"ENSG00000174371",820.107493179507,3.44929161128763,0.121076994427311,28.4884145630028,1.6302724832547e-178,4.50596908377026e-176,"Up"
"ENSG00000100526",582.333586695688,2.91634606478578,0.102518401759996,28.4470496488347,5.30029217017876e-178,1.44954621972015e-175,"Up"
"ENSG00000123975",1894.5695471982,2.6633443965474,0.093630875681421,28.4451509949499,5.59480129325811e-178,1.51415137916811e-175,"Up"
"ENSG00000245812",46.4592024296853,-3.22661164794054,0.113695614165794,-28.3793853581319,3.63319576209479e-177,9.73134629845204e-175,"Down"
"ENSG00000170373",715.354096723671,6.92368383698962,0.244399055257513,28.3294214443441,1.50077595251494e-176,3.97874081860108e-174,"Up"
"ENSG00000087586",1465.46580438913,3.12186988368552,0.11020498905487,28.3278453222402,1.5693902381038e-176,4.11861896729038e-174,"Up"
"ENSG00000286214",394.517208537133,-4.22232898023535,0.149059464237499,-28.326473611282,1.63165059844783e-176,4.23919141982731e-174,"Down"
