"gene","HR","lower_95","upper_95","p_value"
"ENSG00000165480",1.01603703741981,0.829403118955161,1.24466768669654,0.877893385154953
"ENSG00000166803",1.01859429062752,0.804878917359334,1.28905641149472,0.878130539870202
"ENSG00000076555",0.986963853078071,0.831647943632895,1.17128606490332,0.880604507583588
"ENSG00000154839",1.01402489949067,0.842202421686483,1.22090185246443,0.883110951183077
"ENSG00000111206",0.988840277190868,0.848129998846226,1.15289530511254,0.886057241965452
"ENSG00000004776",1.01438105065942,0.831749600998031,1.23711380769192,0.88788291175709
"ENSG00000116678",0.987622190744534,0.8182892577479,1.19199608502197,0.896732625008779
"ENSG00000100526",0.985045179047201,0.78409117527463,1.23750149901161,0.897013052694218
"ENSG00000171227",1.01412224521945,0.8196104154121,1.25479607007169,0.897302032591089
"ENSG00000165810",1.01114632190352,0.85438873063077,1.19666475884367,0.897381082967693
"ENSG00000092853",1.01241362659696,0.831898102975785,1.23209963774738,0.902004537331729
"ENSG00000175643",0.986687011428588,0.795123530664696,1.22440252486054,0.903141669691138
"ENSG00000145708",1.02847084697827,0.615117036060511,1.71959516819518,0.914754187364781
"ENSG00000117650",1.00962773343436,0.839950856048556,1.21358071460895,0.918703150814538
"ENSG00000113368",1.00894732223729,0.815159381468318,1.24880449417898,0.93476024151306
"ENSG00000135424",1.00727861265534,0.845807756162884,1.19957543084704,0.935158828178655
"ENSG00000109674",1.00942390720664,0.804591926628468,1.26640175064896,0.935395516194611
"ENSG00000129810",1.00791694974554,0.809681020486435,1.25468740390386,0.943736510008468
"ENSG00000079435",0.995223718101129,0.862372789282903,1.14854070232741,0.947781828501068
"ENSG00000169679",1.00509649886708,0.8438274610794,1.1971866508618,0.95456883014966
"ENSG00000137812",1.00449711608732,0.824456970030647,1.22385338823716,0.964486065683903
"ENSG00000143549",0.990697307351015,0.642649351608902,1.52724211474791,0.966240343457848
"ENSG00000157456",1.00333636685128,0.834430483702938,1.20643227291864,0.971748859032948
