"miRNA","mRNA","correlation"
"hsa-mir-139","ENSG00000197245",0.501769922269827
"hsa-mir-758","ENSG00000106809",0.501500886661329
"hsa-mir-577","ENSG00000160345",-0.501350603746407
"hsa-mir-139","ENSG00000168477",0.501242077985139
"hsa-mir-139","ENSG00000164736",0.500422233425397
"hsa-mir-139","ENSG00000147113",0.5003509049431
"hsa-mir-615","ENSG00000251151",0.499781776509376
"hsa-mir-934","ENSG00000224853",0.499649604572047
"hsa-mir-934","ENSG00000064787",-0.499226977865798
"hsa-mir-204","ENSG00000241684",0.499218505290505
"hsa-mir-150","ENSG00000211896",0.499110065875401
"hsa-mir-410","ENSG00000189129",0.499108208897958
"hsa-mir-99a","ENSG00000183722",0.499019051684398
"hsa-mir-519a-1","ENSG00000163064",0.499013892537174
"hsa-mir-577","ENSG00000103355",0.498828506584241
"hsa-mir-190b","ENSG00000256612",0.498777737485896
"hsa-mir-5683","ENSG00000161649",0.498750153959331
"hsa-mir-934","ENSG00000108932",-0.498743857596315
"hsa-mir-210","ENSG00000170989",-0.498662806419267
"hsa-mir-934","ENSG00000004838",-0.498155017420289
"hsa-mir-210","ENSG00000197245",-0.49811552418363
"hsa-mir-190b","ENSG00000287914",0.498087953026953
"hsa-mir-381","ENSG00000177363",0.498056446115887
"hsa-mir-139","ENSG00000181234",0.497550320892183
"hsa-mir-577","ENSG00000184661",0.497519768066823
"hsa-mir-125b-1","ENSG00000166482",0.497412341101249
"hsa-mir-758","ENSG00000183722",0.497393698504873
"hsa-mir-139","ENSG00000231246",0.497000852267213
"hsa-mir-99a","ENSG00000144642",0.496932193803129
"hsa-mir-758","ENSG00000182916",0.496906024821464
"hsa-mir-577","ENSG00000160307",0.496690391617851
"hsa-mir-577","ENSG00000231768",0.49646778519836
"hsa-mir-99a","ENSG00000017427",0.496167225405833
"hsa-mir-190b","ENSG00000157303",0.496091851361763
"hsa-mir-139","ENSG00000154263",0.495958219517259
"hsa-mir-204","ENSG00000149451",0.495948366646629
"hsa-let-7c","ENSG00000234456",0.495467898684075
"hsa-mir-934","ENSG00000149970",0.495356811875375
"hsa-mir-432","ENSG00000160801",0.495226562237923
"hsa-mir-99a","ENSG00000241684",0.495079390673585
"hsa-mir-889","ENSG00000172935",0.495020974773516
"hsa-mir-381","ENSG00000189129",0.494977627882007
"hsa-mir-379","ENSG00000154721",0.494662461358472
"hsa-mir-190b","ENSG00000214530",0.494659615067773
"hsa-mir-337","ENSG00000182916",0.494591190389612
"hsa-mir-150","ENSG00000170989",0.49428477408255
"hsa-mir-135b","ENSG00000150667",-0.494092743859734
