"gene","log2FC","padj"
"ENSG00000244265",-2.3979879640506,8.93764987801951e-57
"ENSG00000123124",-1.62663984235909,9.12680750914928e-57
"ENSG00000166780",-2.06756274558285,9.80305823259142e-57
"ENSG00000174749",-1.63793450514954,9.97954318121282e-57
"ENSG00000276223",-2.59220016014576,1.24455410490344e-56
"ENSG00000163040",-2.64937597494474,1.53308233252302e-56
"ENSG00000134202",-2.36910700650845,1.90220988477305e-56
"ENSG00000239445",1.94595713549572,2.35727694002282e-56
"ENSG00000119661",-1.01582714029942,2.76107371770921e-56
"ENSG00000106537",-1.55243601774982,2.99034524550759e-56
"ENSG00000138190",-1.0951469207423,4.0269514514172e-56
"ENSG00000282933",-4.75068526290462,4.70945602256817e-56
"ENSG00000138801",1.06611981543326,5.33307684441409e-56
"ENSG00000083444",1.28184389399245,5.60954108899842e-56
"ENSG00000183206",-7.13400925739448,7.16361213169636e-56
"ENSG00000269353",-4.92923167765712,7.60018757214593e-56
"ENSG00000235387",2.24388517488671,1.08833502541175e-55
"ENSG00000179082",-2.44701060734299,1.23842819741905e-55
"ENSG00000105388",-4.2850944428361,1.29421697238478e-55
"ENSG00000137494",-1.13479757867011,1.34966509939606e-55
"ENSG00000214252",-4.14599761230744,1.35137681512653e-55
"ENSG00000112299",2.0906166741531,1.541328726168e-55
"ENSG00000243478",-3.04774974592069,1.541328726168e-55
"ENSG00000203985",-3.20309967727639,1.69792403546124e-55
"ENSG00000108878",-3.26560410803091,1.95353943679249e-55
"ENSG00000283162",-2.96279035125739,1.97632072873277e-55
"ENSG00000188175",-3.77224159159342,1.98939373524903e-55
"ENSG00000144749",-1.35017496349809,2.14769316452095e-55
"ENSG00000234233",-4.26668745146713,2.47037584412636e-55
"ENSG00000089199",-5.75751601834018,2.62526905052047e-55
"ENSG00000174827",-3.55425472618592,3.45977033188812e-55
"ENSG00000114744",0.758738000034804,3.56750449149705e-55
"ENSG00000168743",-2.16103215337654,3.89617969162772e-55
"ENSG00000224920",-5.30437731656595,4.34928701422865e-55
"ENSG00000188817",-3.8844881534479,4.85803564245889e-55
"ENSG00000138613",-1.25493565687705,5.16323703665676e-55
"ENSG00000064225",1.51552867619268,5.41088298183707e-55
"ENSG00000145491",-2.6872635695634,6.01528466745498e-55
"ENSG00000069020",-1.70638295981801,6.10510695726687e-55
"ENSG00000260912",-1.44961992519097,9.3616547392026e-55
"ENSG00000204531",2.13421716655309,1.02018900626136e-54
"ENSG00000152953",-2.56092675220251,1.18407925967002e-54
"ENSG00000259457",-6.12657082327763,1.2359131428197e-54
"ENSG00000175336",-3.55703005968504,1.31170315377878e-54
"ENSG00000143178",1.4932543582044,1.33849937838412e-54
"ENSG00000260586",-4.18473163333766,1.67940889229532e-54
"ENSG00000280119",-2.95331667053424,1.77107628815892e-54
"ENSG00000224842",-2.1895631365215,2.11382344070592e-54
"ENSG00000103528",-2.22881724539444,2.41685977026038e-54
"ENSG00000196917",-2.08318417335308,2.63017116796814e-54
"ENSG00000253802",-6.6275846038762,2.76906044356447e-54
"ENSG00000139352",-6.00740596913554,2.95647200476632e-54
"ENSG00000153832",-1.32803100278098,3.32161758390739e-54
"ENSG00000260618",-2.25827691968842,3.97804656909613e-54
"ENSG00000198788",-5.96782790689433,4.08097344380156e-54
"ENSG00000164124",-1.38261973937252,4.2838010943638e-54
"ENSG00000153574",0.769505353925928,4.34181687140324e-54
"ENSG00000127084",-2.10888252488824,6.52229952407899e-54
"ENSG00000233968",-2.67210337493953,7.18754159263272e-54
"ENSG00000279930",-2.8837842857021,1.2250959717203e-53
"ENSG00000178149",-1.07571820429824,1.23271773902501e-53
"ENSG00000196553",-4.25884025993832,1.44726799060067e-53
"ENSG00000130005",-1.94621683040856,1.46603362051089e-53
"ENSG00000012660",-1.61695924742392,1.54543279463183e-53
"ENSG00000154127",1.80890265445688,1.69567465485338e-53
"ENSG00000118997",-1.93318840505857,1.83049308184527e-53
"ENSG00000187244",-1.69493443063953,1.9846305501894e-53
"ENSG00000157388",-2.15209347566592,2.15868536693814e-53
"ENSG00000198176",1.03771093849024,2.83370674355316e-53
"ENSG00000055147",-0.767214025750482,3.01308686168227e-53
"ENSG00000133627",1.36716413464859,3.10363404684336e-53
"ENSG00000149926",-2.55901713487741,3.71347074782449e-53
"ENSG00000162104",-1.25900710783515,3.98264909772616e-53
"ENSG00000153347",-3.39204919891534,5.55116378596832e-53
"ENSG00000239402",-6.96239151831519,6.91045359142926e-53
"ENSG00000140284",-2.89527172034925,6.97055364164103e-53
"ENSG00000132434",0.986344848507873,8.72540687643311e-53
"ENSG00000128928",-1.10332567033753,1.00881101856143e-52
"ENSG00000075340",2.32038493236743,1.53308598297733e-52
"ENSG00000145723",-0.740308679257109,1.55459823968342e-52
"ENSG00000158186",1.49222281107781,1.62124450114524e-52
"ENSG00000100221",0.70243776730486,1.64081135915177e-52
"ENSG00000139531",-0.87324568801104,1.7811992972399e-52
"ENSG00000252010",-5.25349371778161,1.95175421003172e-52
"ENSG00000186496",-1.28078423124388,2.05932168876974e-52
"ENSG00000232352",-2.19057435882889,3.54854591282028e-52
"ENSG00000154277",2.51613454002027,4.08345296680856e-52
"ENSG00000140463",-0.939211257961201,4.7656171151378e-52
"ENSG00000177465",-1.52097208223475,6.31776391408726e-52
"ENSG00000171791",-1.79971215380383,6.36888926588309e-52
"ENSG00000123191",-1.84766239367251,6.37783482566309e-52
"ENSG00000233508",-4.0184977797855,6.6523391469253e-52
"ENSG00000268355",-1.96698446076833,7.42252280917814e-52
"ENSG00000196166",-3.59156666986494,8.39544632386678e-52
"ENSG00000128833",-1.21986035539779,8.60965632118278e-52
"ENSG00000132780",0.938189147925251,8.62359885850704e-52
"ENSG00000272281",-3.08371209166749,9.70079494204455e-52
"ENSG00000105792",-1.69483126093975,9.71638297493073e-52
"ENSG00000164574",-1.26578103835003,1.05057241935864e-51
"ENSG00000143409",-1.20651234283759,1.12653776459257e-51
"ENSG00000165105",-1.56755493188195,1.28082512996054e-51
"ENSG00000166275",-0.987727423043215,1.31978580831459e-51
"ENSG00000236404",2.14371784476478,1.34712732125498e-51
"ENSG00000185261",-1.4973329474394,1.52122039623892e-51
"ENSG00000096063",1.02002243670254,2.03689536451243e-51
"ENSG00000124243",-1.5768386487942,2.20879409110546e-51
"ENSG00000169083",-2.20910743040103,2.40245790204655e-51
"ENSG00000173890",-1.56165120121062,2.57100225356947e-51
"ENSG00000169752",1.8026179948163,2.62360490710733e-51
"ENSG00000169344",-3.59597178217098,3.1758584936298e-51
